Régions viticoles;Subdivisions;Appellations;Type de vins produit;Type de vins produit;Type de vins produit;Type de vins produit;Teneur en sucre
Alsace;;alsace grand cru;;Blanc;;;
Alsace;;alsace ou vin d'Alsace;Rouge;Blanc;Rosé;;
Alsace;;crémant d'Alsace;;Blanc;Rosé;;
Beaujolais;;beaujolais;Rouge;Blanc;Rosé;;
Beaujolais;;beaujolais-villages;Rouge;Blanc;Rosé;;
Beaujolais;;brouilly;Rouge;;;;
Beaujolais;;chénas;Rouge;;;;
Beaujolais;;chiroubles;Rouge;;;;
Beaujolais;;côte-de-brouilly;Rouge;;;;
Beaujolais;;fleurie;Rouge;;;;
Beaujolais;;juliénas;Rouge;Blanc;;;
Beaujolais;;morgon;Rouge;;;;
Beaujolais;;moulin-à-vent;Rouge;;;;
Beaujolais;;régnié;Rouge;;;;
Beaujolais;;saint-amour;Rouge;;;;
Bordeaux;Blayais et Bourgeais;blaye;Rouge;;;;
Bordeaux;Blayais et Bourgeais;côtes-de-blaye;;Blanc;;;
Bordeaux;Blayais et Bourgeais;côtes-de-bourg ou bourg ou bourgeais;Rouge;Blanc;;;
Bordeaux;Entre-deux-Mers;cadillac;;Blanc;;;Liquoreux
Bordeaux;Entre-deux-Mers;côtes-de-bordeaux-saint-macaire;;Blanc;;;Liquoreux, moelleux
Bordeaux;Entre-deux-Mers;entre-deux-mers;;Blanc;;;
Bordeaux;Entre-deux-Mers;loupiac;;Blanc;;;Liquoreux
Bordeaux;Entre-deux-Mers;premières-côtes-de-bordeaux;;Blanc;;;Moelleux
Bordeaux;Entre-deux-Mers;sainte-croix-du-mont;;Blanc;;;Liquoreux
Bordeaux;Entre-deux-Mers;sainte-foy-bordeaux;Rouge;Blanc;;;Liquoreux, moelleux
Bordeaux;Entre-deux-Mers, Libournais, Blayais et Bourgeais;côtes-de-bordeaux;;Blanc;;;Liquoreux, moelleux
Bordeaux;Graves;cérons;;Blanc;;;Liquoreux
Bordeaux;Graves;graves;Rouge;Blanc;;;
Bordeaux;Graves;graves-supérieures;;Blanc;;;Moelleux
Bordeaux;Graves;pessac-léognan;Rouge;Blanc;;;
Bordeaux;Libournais;canon-fronsac;Rouge;;;;
Bordeaux;Libournais;fronsac;Rouge;;;;
Bordeaux;Libournais;lalande-de-pomerol;Rouge;;;;
Bordeaux;Libournais;lussac-saint-émilion;Rouge;;;;
Bordeaux;Libournais;montagne-saint-émilion;Rouge;;;;
Bordeaux;Libournais;pomerol;Rouge;;;;
Bordeaux;Libournais;puisseguin-saint-émilion;Rouge;;;;
Bordeaux;Libournais;saint-émilion;Rouge;;;;
Bordeaux;Libournais;saint-émilion grand cru;Rouge;;;;
Bordeaux;Libournais;saint-georges-saint-émilion;Rouge;;;;
Bordeaux;Médoc;haut-médoc;Rouge;;;;
Bordeaux;Médoc;listrac-médoc;Rouge;;;;
Bordeaux;Médoc;margaux;Rouge;;;;
Bordeaux;Médoc;médoc;Rouge;;;;
Bordeaux;Médoc;moulis ou moulis-en-médoc;Rouge;;;;
Bordeaux;Médoc;pauillac;Rouge;;;;
Bordeaux;Médoc;saint-estèphe;Rouge;;;;
Bordeaux;Médoc;saint-julien;Rouge;;;;
Bordeaux;Sauternais;barsac;;Blanc;;;Liquoreux
Bordeaux;Sauternais;sauternes;;Blanc;;;Liquoreux
Bordeaux;;bordeaux;Rouge;Blanc;Rosé;Clairet;
Bordeaux;;bordeaux supérieur;Rouge;Blanc;;;
Bordeaux;;crémant de Bordeaux;;Blanc;Rosé;;
Bordeaux;;graves-de-vayres;Rouge;Blanc;;;Moelleux
Bourgogne;Basse-Bourgogne;chablis;;Blanc;;;
Bourgogne;Basse-Bourgogne;chablis grand cru;;Blanc;;;
Bourgogne;Basse-Bourgogne;irancy;Rouge;;;;
Bourgogne;Basse-Bourgogne;petit-chablis;;Blanc;;;
Bourgogne;Basse-Bourgogne;saint-bris;;Blanc;;;
Bourgogne;côte chalonnaise;bouzeron;;Blanc;;;
Bourgogne;côte chalonnaise;givry;Rouge;Blanc;;;
Bourgogne;côte chalonnaise;mercurey;Rouge;Blanc;;;
Bourgogne;côte chalonnaise;montagny;;Blanc;;;
Bourgogne;côte chalonnaise;rully;Rouge;Blanc;;;
Bourgogne;Côte de Beaune;aloxe-corton;Rouge;Blanc;;;
Bourgogne;côte de Beaune;auxey-duresses;Rouge;Blanc;;;
Bourgogne;côte de Beaune;bâtard-montrachet;;Blanc;;;
Bourgogne;côte de Beaune;beaune;Rouge;Blanc;;;
Bourgogne;côte de Beaune;bienvenues-bâtard-montrachet;;Blanc;;;
Bourgogne;côte de Beaune;blagny;Rouge;;;;
Bourgogne;côte de Beaune;charlemagne;;Blanc;;;
Bourgogne;côte de Beaune;chassagne-montrachet;Rouge;Blanc;;;
Bourgogne;côte de Beaune;chevalier-montrachet;;Blanc;;;
Bourgogne;côte de Beaune;chorey-lès-beaune;Rouge;Blanc;;;
Bourgogne;côte de Beaune;corton;Rouge;Blanc;;;
Bourgogne;côte de Beaune;corton-charlemagne;;Blanc;;;
Bourgogne;côte de Beaune;côte-de-beaune;Rouge;Blanc;;;
Bourgogne;côte de Beaune;côte-de-beaune-villages;Rouge;;;;
Bourgogne;côte de Beaune;criots-bâtard-montrachet;;Blanc;;;
Bourgogne;côte de Beaune;ladoix;Rouge;Blanc;;;
Bourgogne;côte de Beaune;maranges;Rouge;Blanc;;;
Bourgogne;côte de Beaune;meursault;Rouge;Blanc;;;
Bourgogne;côte de Beaune;monthélie;Rouge;Blanc;;;
Bourgogne;côte de Beaune;montrachet;;Blanc;;;
Bourgogne;côte de Beaune;pernand-vergelesses;Rouge;Blanc;;;
Bourgogne;côte de Beaune;pommard;Rouge;;;;
Bourgogne;côte de Beaune;puligny-montrachet;Rouge;Blanc;;;
Bourgogne;côte de Beaune;saint-aubin;Rouge;Blanc;;;
Bourgogne;côte de Beaune;saint-romain;Rouge;Blanc;;;
Bourgogne;côte de Beaune;santenay;Rouge;Blanc;;;
Bourgogne;côte de Beaune;savigny-lès-beaune;Rouge;Blanc;;;
Bourgogne;côte de Beaune;volnay;Rouge;;;;
Bourgogne;côte de Nuits;bonnes-mares;Rouge;;;;
Bourgogne;côte de Nuits;chambertin;Rouge;;;;
Bourgogne;côte de Nuits;chambertin-clos-de-bèze;Rouge;;;;
Bourgogne;côte de Nuits;chambolle-musigny;Rouge;;;;
Bourgogne;côte de Nuits;chapelle-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;charmes-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;clos-de-la-roche;Rouge;;;;
Bourgogne;côte de Nuits;clos-de-tart;Rouge;;;;
Bourgogne;côte de Nuits;clos-de-vougeot ou clos-vougeot;Rouge;;;;
Bourgogne;côte de Nuits;clos-des-lambrays;Rouge;;;;
Bourgogne;côte de Nuits;clos-saint-denis;Rouge;;;;
Bourgogne;côte de Nuits;côte-de-nuits-villages;Rouge;Blanc;;;
Bourgogne;côte de Nuits;échezeaux;Rouge;;;;
Bourgogne;côte de Nuits;fixin;Rouge;Blanc;;;
Bourgogne;côte de Nuits;gevrey-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;grands-échezeaux;Rouge;;;;
Bourgogne;côte de Nuits;griotte-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;la-grande-rue;Rouge;;;;
Bourgogne;côte de Nuits;la-romanée;Rouge;;;;
Bourgogne;côte de Nuits;la-tâche;Rouge;;;;
Bourgogne;côte de Nuits;latricières-chambertin;Rouge;;;;
Bourgogne;côte de Nuits;marsannay;Rouge;Blanc;Rosé;;
Bourgogne;côte de Nuits;mazis-chambertin;Rouge;;;;
